"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",5,5,"HOME","PORRIDGE","MTAMA, ULEZI, MCHELE, KARANGA, MAHINDI, CHUMVI, SUKARI, MAJI","BOILING, FIFTEEN MINUTES","ONE CUP B"
,,"Breakfast",1,"1/0/1900",5,5,"HOME","CASSAVA","CASSAVA, CHUMVI, MAJI","BOILING FIVE MINUTES","FIVE CASSAVA B"
,,"Morning snack",1,"1/0/1900",5,5,"HOME","MAZIWA","MAZIWA, MDALASINI, KARAFUU","BOILING, FIVE MINUTES","ONE CUP B"
,,"Lunch",1,"1/0/1900",5,5,"HOME","UGALI","UNGA WA SEMBE MAJI","BOILING, SEVEN MINUTES","PLATE E"
,,"Lunch",1,"1/0/1900",5,5,"HOME","DAGAA","DAGAA, KAROTI, HOHO, KITUNGUU, NYANYA, MAFUTA, BAMIA, MAJI","ROASTING, TEN MINUTES","SAURCER C"
,,"Lunch",1,"1/0/1900",5,5,"HOME","MCHICHA","MCHICHA, CHUMVI MAJI","BOILING, FOUR MINUTES","SAURCER C"
,,"Snack afternoon",1,"1/0/1900",1,5,"HOME","NDIZI ZA KUIVA","NDIZI ZA KUIVA","EATEN RAW","TWO PLATE A"
,,"Supper",1,"1/0/1900",5,5,"HOME","UGALI","UNGA WA SEMBE MAJI","BOILING, SIX MINUTES","PLATE C"
,,"Supper",1,"1/0/1900",5,5,"HOME","DAGAA","DAGAA, MAFUTA CHUMVI, KITUNGUU KAROTI, BAMIA, MAJI, NYANYA","ATE LEFT OVER, COOKED IN THE AFTERNOON","SAURCER C"
,,"Supper",1,"1/0/1900",5,5,"HOME","MCHICHA","MCHICHA, CHUMVI MAJI","ATE LEFT OVER COOKED IN THE AFTERNOON","SAURCER C"
,,"Snack evening",2,,,,,,,,
,,"Night snack",1,"1/0/1900",5,4,"HOME","MAZIWA","MAZIWA, KARAFUU, MDALASINI","BOILING, FIVE MINUTES","ONE CUP B"
